column_name,description,type,format,example
targetType,On test trials: the item type of the target image (adult experiments: whether the item was manipulated to be ambiguous during training; for familiarization test trials: whether image is a familiar or novel item),string,"high (ambiguous/fully ambiguous), medium (partially ambiguous), low (disambiguated/ mutual exclusivity); familiarization trials: familiar, novel",high
choiceLocation,location of the selected item (adult experiments),string,pos1 (top left) - pos8 (bottom right),pos1
choiceType,type of choice on sampling (ambiguity) and test trials (target or foil),string,"Sampling Trials: ambiguous, disambiguated, ME,familiar, novel; Test trials: target, foil",ambiguous
selectionType,type of choice on sampling and test trials (degree of ambiguity classification) - alternative terminology,string,"Sampling Trials: high (ambiguous), medium (partially ambiguous), low (disambiguated), familiar, novel",high
selectionHigh,"Sampling trials: whether the item selected was a fully ambiguous item (""high"") or not",numeric,0 (~selection was not ambiguous item) or 1 (~selection was ambiguous item),1
isAmbiguous,"Sampling trials: whether the item selected was ambiguous (""high"" or ""medium"") or not",numeric,0 (~selection was not ambiguous item) or 1 (~selection was ambiguous item),1
targetIsAmbiguous,Test trials: whether or not the target image is ambiguous,numeric,0 (target is not ambiguous) or 1 (target is ambiguous),1
targetIsAmbiguousYN,Test trials: whether or not the target image is ambiguous (coded as factor/ string),numeric,no (target is not ambiguous) or yes (target is ambiguous),yes
isRight,whether the response is correct or not,numeric,0 (incorrect) or 1 (correct),1
rt,participants' reaction time (in ms),numeric,in milliseconds,3755
choice_count,On test trials: how often the target item was chosen during the Sampling Phase,numeric,0-4,1
chosen,On test trials: whether or not the target item was chosen during the Sampling Phase (binary),numeric,0 (not chosen) or 1 (chosen),0
choice1,the image selected on the first sampling trial,string,format has path to stimulus from experiment implementation,stims/1.png
choice2,the image selected on the second sampling trial,string,format has path to stimulus from experiment implementation,stims/1.png
choice3,the image selected on the third sampling trial (if available),string,format has path to stimulus from experiment implementation,stims/1.png
choice4,the image selected on the fourth sampling trial (if available),string,format has path to stimulus from experiment implementation,stims/1.png
Exclude,whether the participant should be excluded,string,Y (exclude) or N (do not exclude),N
Age,participants' age (in years - day count basis: US 30/360),numeric,months are rounded,4.2
Gender,participants' self-reported gender,string,female or male,female
hispanic,for children: Is the child is Hispanic or Latinx (as reported by parental guardian),string,Yes or No,Yes
ethnicity,for children: ethinicity (as reported by parents),string,"Options: American Indian or Alaska Native, Asian, Native Hawaiian or Other Pacific Islander, Black or African American, White, Other. Parents checked all that applied (mutliple selections separated by a comma)","Black or African American,White"
L1_english,whether participants' first language is English,string,English or Other,English
L1_non_english,participants' self-reported first language (if not English),string,result from an open-ended text box entry,Mandarin
languages_besides_english_yn,for children: whether the child speaks languages besides English,string,Yes or No,No
L1,for children: first language children are exposed to/ hear,string,open format; can also list multiple languages if parents report two languages together,English
L1percent,for children: percentage of time that children hear the first language,numeric,0-100,100
L2,for children: second language children are exposed to/ hear,string,"open format; can also list multiple languages if parents report two languages together (e.g. Hindi, Gujarati",German
L2percent,for children: percentage of time that children hear the second language,numeric,0-100,50
L3,for children: third language children are exposed to/ hear,string,open format; can also list multiple languages if parents report two languages together,Spanish
L3percent,for children: percentage of time that children hear the third language,numeric,0-100,2
Education,participants' self-reported highest education level achieved,string,"Less than High School; High School / GED; Some College; Associate's Degree/technical school; Bachelor's Degree; Masters Degree; Doctoral/ Profession Degree (PhD, JD, MD)",Some College
Experimenter,unique identifier for experimenter who guided child through study,string,two capital letters,TG
response1,"Adult experiments: participants' responses to the question ""what strategy did you use to learn the names of aliens?""",string,result from an open-ended text box entry,
response2,"Adult experiments: participants' responses to the question ""How did you decide which aliens to choose to learn about in part 2 of the study?""",string,result from an open-ended text box entry,
